Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,1973-01-01,USA
chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,1973-01-01,USA
buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,1973-01-01,USA
amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,1973-01-01,USA
plymouth valiant,18.0,6,225.0,105.0,3121,16.5,1973-01-01,USA
chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,1973-01-01,USA
amc hornet,18.0,6,232.0,100.0,2945,16.0,1973-01-01,USA
ford maverick,18.0,6,250.0,88.0,3021,16.5,1973-01-01,USA
plymouth duster,23.0,6,198.0,95.0,2904,16.0,1973-01-01,USA
volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,1973-01-01,Europe
chevrolet impala,11.0,8,400.0,150.0,4997,14.0,1973-01-01,USA
ford country,12.0,8,400.0,167.0,4906,12.5,1973-01-01,USA
plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,1973-01-01,USA
oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,1973-01-01,USA
amc gremlin,18.0,6,232.0,100.0,2789,15.0,1973-01-01,USA
toyota carina,20.0,4,97.0,88.0,2279,19.0,1973-01-01,Japan
chevrolet vega,21.0,4,140.0,72.0,2401,19.5,1973-01-01,USA
datsun 610,22.0,4,108.0,94.0,2379,16.5,1973-01-01,Japan
maxda rx3,18.0,3,70.0,90.0,2124,13.5,1973-01-01,Japan
ford pinto,19.0,4,122.0,85.0,2310,18.5,1973-01-01,USA
mercury capri v6,21.0,6,155.0,107.0,2472,14.0,1973-01-01,USA
fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,1973-01-01,Europe
chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,1973-01-01,USA
pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,1973-01-01,USA
fiat 128,29.0,4,68.0,49.0,1867,19.5,1973-01-01,Europe
opel manta,24.0,4,116.0,75.0,2158,15.5,1973-01-01,Europe
audi 100ls,20.0,4,114.0,91.0,2582,14.0,1973-01-01,Europe
volvo 144ea,19.0,4,121.0,112.0,2868,15.5,1973-01-01,Europe
dodge dart custom,15.0,8,318.0,150.0,3399,11.0,1973-01-01,USA
saab 99le,24.0,4,121.0,110.0,2660,14.0,1973-01-01,Europe
toyota mark ii,20.0,6,156.0,122.0,2807,13.5,1973-01-01,Japan
oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,1973-01-01,USA
plymouth duster,20.0,6,198.0,95.0,3102,16.5,1974-01-01,USA
ford maverick,21.0,6,200.0,,2875,17.0,1974-01-01,USA
amc hornet,19.0,6,232.0,100.0,2901,16.0,1974-01-01,USA
chevrolet nova,15.0,6,250.0,100.0,3336,17.0,1974-01-01,USA
datsun b210,31.0,4,79.0,67.0,1950,19.0,1974-01-01,Japan
ford pinto,26.0,4,122.0,80.0,2451,16.5,1974-01-01,USA
toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,1974-01-01,Japan
chevrolet vega,25.0,4,140.0,75.0,2542,17.0,1974-01-01,USA
chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,1974-01-01,USA
amc matador,16.0,6,258.0,110.0,3632,18.0,1974-01-01,USA
plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,1974-01-01,USA
ford gran torino,16.0,8,302.0,140.0,4141,14.0,1974-01-01,USA
buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,1974-01-01,USA
dodge coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,1974-01-01,USA
ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,1974-01-01,USA
amc matador (sw),14.0,8,304.0,150.0,4257,15.5,1974-01-01,USA
audi fox,29.0,4,98.0,83.0,2219,16.5,1974-01-01,Europe
volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,1974-01-01,Europe
opel manta,26.0,4,97.0,78.0,2300,14.5,1974-01-01,Europe
toyota corona,31.0,4,76.0,52.0,1649,16.5,1974-01-01,Japan
